ShortName,var,ll_comp,parset,mean,median,q025,q975,q25,q75
CH,r0_left,id2o,1,3.103219840296152,3.0929407849219954,2.790308875425035,3.45216429145504,2.97879052382917,3.2144282687612913
CH,r0_right,id2o,1,0.5571290143322091,0.5245810568316969,0.37900313396012647,0.7027639621542061,0.47467253948307375,0.5787710876467053
CH,r0change,id2o,1,0.18029322363450095,0.1689949051964526,0.12118478557355235,0.23344197255648388,0.15168995549412156,0.18814000025958538
CH,t1,id2o,1,7.426559356136821,8,3,11,6,9
CH,t1frac,id2o,1,0.994,0.994,0.994,0.994,0.994,0.994
