ShortName,var,ll_comp,parset,mean,median,q025,q975,q25,q75
CH,r0_left,,1,2.42237672377445,2.4135913029216036,2.073317548854783,2.789508137463565,2.2927398072742426,2.5470866619919588
CH,r0_right,,1,0.5254518239023627,0.5063218970250118,0.3430158846983058,0.7617199908604008,0.4507203043497221,0.5716794738926614
CH,r0change,,1,0.2183663573481991,0.21007801764163028,0.1392397350571894,0.32449575589297486,0.183176691780303,0.2406031245425176
CH,t1,,1,8.366733466933868,9,2,13,6,10
CH,t1frac,,1,0.998,0.998,0.998,0.998,0.998,0.998
