time,parset,var,mean,median,q025,q975,q25,q75,date
2020.13597992243,3,H_curr,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,H_d,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,H_s,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,I1,506,506,506,506,506,506,2020-02-19
2020.13597992243,3,I2,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,I3,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,I_d,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,I_h,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,N,8552471,8552471,8552471,8552471,8552471,8552471,2020-02-19
2020.13597992243,3,R,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,Rt,NaN,NA,NA,NA,NA,NA,2020-02-19
2020.13597992243,3,S,8551965,8551965,8551965,8551965,8551965,8551965,2020-02-19
2020.13597992243,3,tot_I,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,U_curr,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,U_d,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,U_s,0,0,0,0,0,0,2020-02-19
2020.13597992243,3,X,5.301288795967616,5.301288795967616,5.301288795967616,5.301288795967616,5.301288795967616,5.301288795967616,2020-02-19
2020.13689253936,1,a_D,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_deltaH,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_deltaID,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_DH,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_DI,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_DU,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_H,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_O,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_OU,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,a_U,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,D,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,E,99.1232,99,80,119,92,106,2020-02-20
2020.13689253936,1,H,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,H_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,H_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,H_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,I1,396.7249,397,379,413,391,403,2020-02-20
2020.13689253936,1,I2,96.2751,96,80,114,90,102,2020-02-20
2020.13689253936,1,I3,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,I_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,I_h,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,N,8552471,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13689253936,1,R,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,Rt,2.785458636867129,2.784648136912603,2.6179414041786044,2.9590230777646633,2.726038367976554,2.843519313084227,2020-02-20
2020.13689253936,1,S,8551878.8768,8551879,8551859,8551898,8551872,8551886,2020-02-20
2020.13689253936,1,tot_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,U_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,U_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,U_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,1,X,5.396651582778837,5.396845648364145,5.335112410390592,5.45758329766626,5.37557353318669,5.417766604907422,2020-02-20
2020.13689253936,2,a_D,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_deltaH,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_deltaID,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_DH,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_DI,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_DU,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_H,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_O,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_OU,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,a_U,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,D,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,E,90.7884,91,73,110,84,97,2020-02-20
2020.13689253936,2,H,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,H_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,H_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,H_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,I1,403.4316,404,386,420,397,409,2020-02-20
2020.13689253936,2,I2,97.5684,97,81,115,92,104,2020-02-20
2020.13689253936,2,I3,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,I_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,I_h,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,N,8552471,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13689253936,2,R,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,Rt,2.5117093222855686,2.5111936597364277,2.347675311152209,2.677754914531446,2.4540750740940203,2.5693593810131645,2020-02-20
2020.13689253936,2,S,8551879.2116,8551879,8551860,8551897,8551873,8551886,2020-02-20
2020.13689253936,2,tot_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,U_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,U_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,U_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,2,X,5.293118199974732,5.293482326933489,5.226149734431502,5.357702850171092,5.270474063549695,5.316380724857014,2020-02-20
2020.13689253936,3,a_D,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_deltaH,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_deltaID,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_DH,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_DI,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_DU,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_H,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_O,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_OU,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,a_U,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,D,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,E,92.5386,92,74,112,86,99,2020-02-20
2020.13689253936,3,H,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,H_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,H_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,H_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,I1,407.2308,407,390,424,401,413,2020-02-20
2020.13689253936,3,I2,98.7692,99,82,116,93,105,2020-02-20
2020.13689253936,3,I3,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,I_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,I_h,0,0,0,0,0,0,2020-02-20
