time,parset,var,ShortName,ll_comp,mean,median,q025,q975,q25,q75,date
2020.13689253936,1,Rt,CH,d-deltah,2.5977484173039778,2.5977570475810747,2.549922372352618,2.6443108069335652,2.5809180798831535,2.614117605520787,2020-02-20
2020.13963039014,1,Rt,CH,d-deltah,2.5875651238522095,2.5864456566116205,2.4937363547835556,2.684877274154228,2.551625437456589,2.6225678978610403,2020-02-20
2020.14236824093,1,Rt,CH,d-deltah,2.579487736958192,2.577691806482246,2.4519591500691296,2.708876149752215,2.535165747397552,2.6247951100890807,2020-02-21
2020.14510609172,1,Rt,CH,d-deltah,2.572588361058353,2.5724066478895313,2.42769227636522,2.721134123215185,2.5240672837220233,2.619845089497502,2020-02-23
2020.14784394251,1,Rt,CH,d-deltah,2.5620028795235092,2.5616857704412945,2.395680213200983,2.7313937277339537,2.5045215747806058,2.6191803645990643,2020-02-24
2020.15058179329,1,Rt,CH,d-deltah,2.5517908306835104,2.5516691568288135,2.3731082401042283,2.732030144024438,2.484733950238608,2.6162864064021383,2020-02-24
2020.15331964408,1,Rt,CH,d-deltah,2.5436206248748423,2.5466585080332482,2.35712773191538,2.7378160454030835,2.4722669061042017,2.613897644358271,2020-02-26
2020.15605749487,1,Rt,CH,d-deltah,2.5379587586553076,2.5393047562495323,2.336292879513102,2.743211557566005,2.470898907860885,2.6076069864641376,2020-02-27
2020.15879534565,1,Rt,CH,d-deltah,2.5310175650648015,2.5315652362584347,2.317320029946984,2.7534560240008488,2.4552029118299115,2.601380248119902,2020-02-27
2020.16153319644,1,Rt,CH,d-deltah,2.52601489553707,2.5240699699822917,2.2970001679455505,2.7790396484142508,2.4482638819114455,2.601515709899539,2020-02-28
2020.16427104723,1,Rt,CH,d-deltah,2.522682166662971,2.5203512220477142,2.277507726442778,2.7724581554446104,2.44174081710217,2.5988850402954204,2020-03-01
2020.16700889801,1,Rt,CH,d-deltah,2.5173190905452665,2.514849955106031,2.2659637164089728,2.765230973673408,2.4315994528947895,2.598409762698961,2020-03-01
2020.1697467488,1,Rt,CH,d-deltah,2.5148012581345727,2.511503660119575,2.261468235105993,2.777952930697948,2.4259503859142075,2.600297453729606,2020-03-02
2020.17248459959,1,Rt,CH,d-deltah,2.4852653834458414,2.47579259841634,2.095535611302597,2.9281351471094768,2.3466913236480265,2.6184942218095615,2020-03-04
2020.17522245038,1,Rt,CH,d-deltah,2.4587415717583143,2.4566272995980363,2.017362466222838,2.922912818620941,2.301952176380736,2.613549624841889,2020-03-05
2020.17796030116,1,Rt,CH,d-deltah,2.4378927095798506,2.4268443977442513,1.9937939904681723,2.898038776765582,2.2675261007659753,2.609471645519421,2020-03-05
2020.18069815195,1,Rt,CH,d-deltah,2.4090423006219903,2.3952600652488036,1.932536851505855,2.9327875834229875,2.2489706680460735,2.576798889021805,2020-03-06
2020.18343600274,1,Rt,CH,d-deltah,2.373548613621946,2.3542434326335,1.8850034680950085,2.903032659526909,2.1936601833253753,2.52934479320313,2020-03-08
2020.18617385352,1,Rt,CH,d-deltah,2.3263564049699177,2.3156809885255116,1.867282864265546,2.8173827059369008,2.1513728777124914,2.482177295295636,2020-03-08
2020.18891170431,1,Rt,CH,d-deltah,2.260806025955678,2.2505690274007906,1.8357076835494117,2.7664262650703435,2.089790817239239,2.424897284446734,2020-03-09
2020.1916495551,1,Rt,CH,d-deltah,2.1904081631442285,2.1853423775106724,1.7823126363371353,2.6326910164397224,2.0529981870062572,2.3247274118060592,2020-03-11
2020.19438740589,1,Rt,CH,d-deltah,2.12078495799345,2.114950230353802,1.7068896196277576,2.5636179621432644,1.9680734530411643,2.2625873561118848,2020-03-12
2020.19712525667,1,Rt,CH,d-deltah,2.0760012145801703,2.0696028291886233,1.6355472099023907,2.5670956372157994,1.9194168735585528,2.226245413534874,2020-03-12
2020.19986310746,1,Rt,CH,d-deltah,2.0146936954134675,1.9951850968260338,1.627383822714386,2.5169912471358318,1.8522662212220564,2.1631518079440037,2020-03-13
2020.20260095825,1,Rt,CH,d-deltah,1.9600487100834694,1.9387066075771802,1.5612515354417258,2.497741946664862,1.782399511152363,2.120901782619251,2020-03-15
2020.20533880903,1,Rt,CH,d-deltah,1.8285126192076278,1.8190592575271207,1.4411678001588022,2.2877512922247956,1.6764861283834953,1.962359184534928,2020-03-15
2020.20807665982,1,Rt,CH,d-deltah,1.7014681132636953,1.6762764910814076,1.3584667410106999,2.1657426521936163,1.5509407739470864,1.82657465231933,2020-03-16
2020.21081451061,1,Rt,CH,d-deltah,1.6092872501840498,1.5812065216999587,1.2825087573145921,2.0887570137402873,1.451769944638379,1.7380599197930848,2020-03-18
2020.2135523614,1,Rt,CH,d-deltah,1.5552760407257376,1.5281993536249172,1.203409499999834,2.0694177302618444,1.3881159392168918,1.6876048411557503,2020-03-19
2020.21629021218,1,Rt,CH,d-deltah,1.4992055642604172,1.4634052855150772,1.140991631051754,2.0436320494494034,1.3279109130436781,1.6331876134075047,2020-03-19
2020.21902806297,1,Rt,CH,d-deltah,1.3986938154402837,1.3539360161855363,1.0831995027613333,1.9438715448680624,1.2497751872120473,1.5040223531289036,2020-03-20
2020.22176591376,1,Rt,CH,d-deltah,1.3097000940305208,1.2685732399686083,1.0056726177487796,1.8719669227189466,1.1691227679172491,1.4051458857990464,2020-03-22
2020.22450376454,1,Rt,CH,d-deltah,1.2437129198062995,1.1999640764836261,0.9410201635194032,1.8030672469127182,1.0964433636987154,1.3332682200436825,2020-03-22
