corr,corr.low,corr.high,cov,max.coef,lag,pval,max.coef.low,max.coef.high,ShortName,var,lag.type
0.7672422782677001,0.5575067452668634,0.8849119182176978,143.59155914251002,0.9906306237502481,2,3.600492719679771e-5,0.719829016794595,1.1425606621773818,BE,grocery_and_pharmacy,preceeding
0.3124437898220524,-0.06105324278003981,0.6091896812150279,63.09547910594938,0.37387046620358394,4,0.09246004852780554,-0.07305635472676313,0.7289568157267307,BE,parks,preceeding
0.9044373464370989,0.804662259028536,0.9545330506235143,384.80152211050944,0.5136837188311165,0,1.1129131920473156e-6,0.4570155171600627,0.5421360463752125,BE,retail_and_recreation,simultaneous
0.8129678280967255,0.6359473093169333,0.9087151659851286,228.5182082756309,0.6988782366662911,1,1.1979217657609453e-5,0.5467002737225303,0.7811886656356613,BE,transit_stations,preceeding
0.8918725063541921,0.7804908039534816,0.948376384928566,227.43573872809046,0.8451279222484673,0,1.56399285122788e-6,0.7395839279490997,0.8986703345981267,BE,workplaces,simultaneous
0.6359449445159484,0.35132525531853265,0.8129664817163886,180.07843710368053,2.018170234212915,-2,6.155503761302583e-4,1.1149301192272216,2.5799477910177293,BL,grocery_and_pharmacy,lagging
0.9821543971230413,0.9618987651164126,0.991687222286924,751.2961297111161,1.1537955242532956,0,1.2294434514892316e-7,1.1300000216127446,1.1649943042412438,BL,retail_and_recreation,simultaneous
0.9360909267468424,0.8670576898492555,0.9698558868637117,420.896793813036,1.8708584287355938,0,4.6309599177618566e-7,1.732889552612004,1.9383406128115535,BL,transit_stations,simultaneous
0.9703936798630695,0.9372119103962345,0.9861650356728453,425.4325355534497,1.9890499495718457,0,1.7346943748108856e-7,1.921036113276018,2.021377050550637,BL,workplaces,simultaneous
0.6376146630270212,0.3537847227487407,0.8139166515723929,173.98694414802065,1.4361692543830822,-1,5.954905397880239e-4,0.7968680316573147,1.8332735089079362,BS,grocery_and_pharmacy,lagging
0.484156459976993,0.14303109003170808,0.722463766219386,184.11349333773242,0.7825129567677795,3,0.009126940696647434,0.23117254528783723,1.16767471798018,BS,parks,preceeding
0.9250800211860032,0.8451045855620222,0.9645558532661205,570.8550639583586,0.9213792747827151,0,6.302536794677849e-7,0.8417237777575132,0.9606971853422702,BS,retail_and_recreation,simultaneous
0.9064661172150877,0.8085963418443989,0.9555231401454085,450.4352208175946,1.1211829954704615,0,1.052982467220076e-6,1.0001305635789632,1.181860277139699,BS,transit_stations,simultaneous
0.9019047386045694,0.7997634267847008,0.9532955234175016,387.92214728964984,1.2887908857215817,0,1.192343676015284e-6,1.1428344602871563,1.3622265516428633,BS,workplaces,simultaneous
0.7775090544932384,0.5747989330733542,0.8903105248132249,258.6531904222137,1.8527258588578464,0,2.826479026185602e-5,1.3696880323059506,2.121520414717057,CH,grocery_and_pharmacy,simultaneous
0.3676650359670325,0.0013399132033803537,0.646988198014178,137.3661282808981,0.7800871023547264,3,0.04771062927134895,0.0028429382888764654,1.3727363204910292,CH,parks,preceeding
0.9859672582768516,0.9699738518445359,0.9934700261217051,756.768734986525,1.018309738846241,0,1.0986839260596071e-7,1.0017917040021465,1.0260586184368972,CH,retail_and_recreation,simultaneous
0.9510532811382283,0.8973249582821758,0.9770070885232465,516.1037475452617,1.3892831744428127,0,3.0298830022701395e-7,1.3107977137274989,1.4271960744115526,CH,transit_stations,simultaneous
0.9764673598277476,0.9499197532285923,0.9890212796384076,490.10261664179575,1.542220716081515,0,1.4528441827366123e-7,1.500291747900928,1.5620482249123695,CH,workplaces,simultaneous
0.766820013433001,0.556799405914921,0.8846891985339188,219.87559345233987,1.3395370030101965,2,3.63628669546312e-5,0.9726577220357047,1.5454394732006578,FR,grocery_and_pharmacy,preceeding
-0.2791550290955821,-0.5959490457389985,0.1128280537030227,-76.47742699142216,-0.5181021721582928,0,0.14691019980958364,-1.1060610159644209,0.20940500299535428,FR,parks,simultaneous
0.9376468556448507,0.8701816076803907,0.9706022567111713,602.1152889384912,0.7313812283476029,0,4.4323965364689855e-7,0.6787571347136646,0.7570870274631953,FR,retail_and_recreation,simultaneous
0.8547973173555963,0.711057458499218,0.9299581888362634,392.76370807073266,0.9318366998312215,1,4.1599951756676745e-6,0.775142156000297,1.0137715129324747,FR,transit_stations,preceeding
0.9176591081253798,0.8304596651875262,0.9609657839659174,389.3358475189378,1.0833860215805513,0,7.742622876172334e-7,0.9804385798432063,1.1345137735216873,FR,workplaces,simultaneous
0.9126688029617532,0.8206787806915741,0.9585433585470566,576.4992918364757,1.540803527937599,0,8.884052116187036e-7,1.3855023382957634,1.618250764940798,GE,grocery_and_pharmacy,simultaneous
0.8151879222409499,0.6398512407292307,0.9098552387251191,618.1726170803565,1.1463713951731962,1,1.1339168606294692e-5,0.8998013090302653,1.2794988627354333,GE,parks,preceeding
0.966457855913915,0.9290238421335394,0.9843091382617052,917.3609809746903,1.08578842696023,0,1.9448314358960772e-7,1.043732357273709,1.105843844442766,GE,retail_and_recreation,simultaneous
0.9637877778716238,0.9234898191254152,0.983047837758733,861.9204451350547,1.149252025056635,0,2.1011794260061833e-7,1.101199422857214,1.1722183495278304,GE,transit_stations,simultaneous
0.9521899566586127,0.8996451732555267,0.9775479821269332,777.1318937273708,1.244148129386009,0,2.9330356832169e-7,1.1754921920672112,1.2772813710577073,GE,workplaces,simultaneous
0.9110703508672744,0.8061453757597141,0.9604477121176498,321.6219933380026,1.88418038420502,0,5.2297988184513144e-6,1.6671855278553747,1.9862974769226116,GR,grocery_and_pharmacy,simultaneous
