Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-06-22,38.0,,0.0,,7.0,7.0,32.0,30.0,0.0,3.0,3.0,10.0,17.0,0.0,0.0,14.0,3.0,11.0,6.0,2.0,11.0,,70.0,58.0,14.0,83.0,436.0
2020-06-23,40.0,0.0,,,7.0,7.0,36.0,34.0,0.0,3.0,3.0,11.0,18.0,0.0,0.0,15.0,3.0,11.0,6.0,3.0,12.0,,76.0,65.0,14.0,87.0,468.0
2020-06-24,40.0,0.0,,,9.0,7.0,44.0,36.0,1.0,3.0,3.0,12.0,18.0,0.0,0.0,17.0,3.0,12.0,9.0,4.0,12.0,,85.0,75.0,16.0,103.0,526.0
2020-06-25,47.0,,1.0,,10.0,7.0,47.0,39.0,1.0,5.0,5.0,12.0,18.0,0.0,0.0,20.0,3.0,13.0,10.0,6.0,12.0,,88.0,82.0,17.0,110.0,570.0
2020-06-26,53.0,0.0,1.0,18.0,12.0,7.0,52.0,43.0,1.0,8.0,6.0,14.0,19.0,0.0,0.0,23.0,3.0,13.0,13.0,8.0,12.0,1.0,94.0,92.0,19.0,129.0,641.0
2020-06-27,,,,19.0,14.0,7.0,56.0,43.0,,8.0,9.0,14.0,19.0,0.0,,,,,16.0,10.0,12.0,,96.0,96.0,19.0,141.0,674.0
2020-06-28,,,,21.0,16.0,7.0,61.0,44.0,,8.0,11.0,17.0,19.0,0.0,,,,,16.0,10.0,12.0,,104.0,97.0,19.0,152.0,709.0
2020-06-29,73.0,,2.0,25.0,17.0,7.0,61.0,51.0,1.0,8.0,11.0,19.0,20.0,0.0,1.0,29.0,5.0,16.0,21.0,11.0,13.0,2.0,120.0,105.0,21.0,161.0,800.0
2020-06-30,81.0,0.0,,27.0,17.0,7.0,61.0,55.0,1.0,9.0,12.0,25.0,22.0,0.0,1.0,35.0,5.0,19.0,21.0,12.0,14.0,4.0,134.0,109.0,23.0,189.0,885.0
2020-07-01,102.0,0.0,3.0,29.0,18.0,7.0,72.0,56.0,1.0,9.0,17.0,28.0,22.0,0.0,1.0,51.0,5.0,21.0,25.0,15.0,14.0,10.0,143.0,112.0,25.0,237.0,1023.0
2020-07-02,115.0,,4.0,35.0,19.0,8.0,79.0,61.0,1.0,10.0,22.0,28.0,24.0,0.0,1.0,51.0,5.0,23.0,29.0,19.0,19.0,11.0,168.0,115.0,27.0,294.0,1168.0
2020-07-03,128.0,0.0,,39.0,23.0,10.0,84.0,63.0,1.0,10.0,30.0,32.0,25.0,0.0,1.0,62.0,5.0,24.0,32.0,19.0,26.0,,182.0,120.0,31.0,317.0,1279.0
2020-07-04,,,,43.0,27.0,11.0,87.0,66.0,,11.0,33.0,,25.0,0.0,,,,,35.0,19.0,27.0,,185.0,122.0,33.0,330.0,1322.0
2020-07-05,,,,49.0,27.0,12.0,92.0,68.0,,11.0,39.0,36.0,,0.0,,,,28.0,35.0,21.0,31.0,12.0,191.0,124.0,33.0,338.0,1373.0
2020-07-06,137.0,0.0,4.0,52.0,29.0,12.0,94.0,68.0,1.0,11.0,39.0,36.0,,0.0,2.0,73.0,7.0,32.0,35.0,21.0,36.0,,198.0,124.0,36.0,357.0,1441.0
2020-07-07,144.0,,4.0,,,15.0,96.0,,2.0,,,37.0,,,,75.0,8.0,,42.0,21.0,40.0,,,,38.0,,1471.0
