age,sex,cases,fatalities,region,count,cases_pp,fatalities_pp
93,Female,11,3,Kanton Zürich,1153,0.009540329575021683,0.0026019080659150044
93,Male,4,3,Kanton Zürich,493,0.008113590263691683,0.006085192697768763
94,Female,5,2,Kanton Zürich,892,0.005605381165919282,0.002242152466367713
94,Male,6,1,Kanton Zürich,373,0.0160857908847185,0.002680965147453083
95,Female,10,3,Kanton Zürich,707,0.014144271570014143,0.004243281471004243
95,Male,2,1,Kanton Zürich,257,0.007782101167315175,0.0038910505836575876
96,Female,6,2,Kanton Zürich,493,0.012170385395537525,0.004056795131845842
96,Male,6,1,Kanton Zürich,169,0.03550295857988166,0.005917159763313609
97,Female,6,3,Kanton Zürich,325,0.018461538461538463,0.009230769230769232
97,Male,2,0,Kanton Zürich,113,0.017699115044247787,0.0
98,Female,6,2,Kanton Zürich,257,0.023346303501945526,0.007782101167315175
98,Male,1,1,Kanton Zürich,78,0.01282051282051282,0.01282051282051282
99,Female,12,1,Kanton Zürich,161,0.07453416149068323,0.006211180124223602
99,Male,3,0,Kanton Zürich,44,0.06818181818181818,0.0
